"","CensusTract","lng1","lat1","lng2","lat2","State","County","TotalPop","Men","Women","Hispanic","White","Black","Native","Asian","Pacific","VotingAgeCitizen","Income","IncomeErr","IncomePerCap","IncomePerCapErr","Poverty","ChildPoverty","Professional","Service","Office","Construction","Production","Drive","Carpool","Transit","Walk","OtherTransp","WorkAtHome","MeanCommute","Employed","PrivateWork","PublicWork","SelfEmployed","FamilyWork","Unemployment","centerlat","centerlng"
"53",32003002823,-115.109979,36.100034,-115.101015,36.09563,"Nevada","Clark County",4014,1831,2183,37.4,38.7,8.3,1.3,7.9,4,2690,34923,3258,20857,2451,20.8,26.7,27,31,27.6,2.7,11.8,77,10.7,5.4,2.6,2.9,1.4,21.5,2090,88.3,6.5,5.2,0,4.5,36.097832,-115.105497
"54",32003005356,-115.052175,36.021688,-115.047307,36.017962,"Nevada","Clark County",2752,1320,1432,17.1,63.9,2.8,0,11.1,0.2,2119,90338,6964,51551,8481,6.6,2.7,45,19.1,26.9,4.8,4.1,77.6,7,3,1.2,0.6,10.7,24.9,1219,78.6,16.2,4.6,0.6,10.2,36.019825,-115.049741
"55",32003005423,-114.963195,36.038069,-114.959112,36.036059,"Nevada","Clark County",5202,2423,2779,22.4,54.6,18.6,0.6,1.1,0,3890,38951,9699,19391,3189,22.8,31.5,17.1,33.4,22.6,14.2,12.6,77.4,9.4,4,4.5,2.2,2.5,25.5,2113,93.1,6.3,0.6,0,13.4,36.037064,-114.9611535
"56",32003005358,-114.989797,35.998061,-114.986794,35.990801,"Nevada","Clark County",3195,1561,1634,14.8,79.6,0.8,0,3.1,0.2,1939,98636,7093,31403,2812,3.1,3.4,46.8,15.5,22.6,9.4,5.8,87.7,8.1,0,0,1.2,3,22.6,1493,66.3,27.3,6.4,0,4.5,35.994431,-114.9882955
"57",32003004712,-115.066679,36.223491,-115.06215,36.218031,"Nevada","Clark County",4435,2038,2397,45,30.3,19.2,0,2.5,0,2723,24036,4729,14661,2754,33.7,43.7,8.2,46.2,24,12.5,9.1,66.3,10.5,20.8,2.4,0,0,40.1,1645,96.6,3.2,0.2,0,13,36.220761,-115.0644145
"58",32003003615,-115.124272,36.23734,-115.116664,36.232194,"Nevada","Clark County",2666,1253,1413,31.7,30.4,24.6,0,6.1,0.6,1728,43811,3967,20988,2453,23.8,39.9,14.3,32.9,30.5,7,15.3,81.9,10.7,2.3,1,2.8,1.3,25,1299,82.4,15.2,2.5,0,5.8,36.234767,-115.120468
"59",32003003245,-115.269896,36.233431,-115.262937,36.229507,"Nevada","Clark County",5599,2603,2996,25.4,51.1,8,1.2,8.8,0,3875,70844,9243,29379,4231,8.8,10.5,34.8,23.9,27.2,7.1,6.9,90.6,8.2,0,0,0.7,0.5,23.6,2734,83,13.2,3.7,0,6.9,36.231469,-115.2664165
"60",32003005825,-115.282478,36.125913,-115.278971,36.122227,"Nevada","Clark County",5849,2625,3224,23.2,42.6,7.1,0.4,18,3,4086,46148,11239,28969,6836,25.6,47.6,29.6,32.4,26.3,4.9,6.7,85.3,2.5,5.2,3.7,1.6,1.6,23.9,2765,86.1,9,4.9,0,10.2,36.12407,-115.2807245
"61",32003002505,-115.121444,36.110993,-115.119067,36.1073,"Nevada","Clark County",2081,1187,894,49,28.9,11.2,0,7.8,1.3,1125,27813,5755,19052,2397,26.8,27.1,18.2,45.9,27,1.1,7.9,62,10.1,16.6,8.3,0.5,2.5,24.5,1001,89.7,8.8,1.5,0,14.1,36.1091465,-115.1202555
"62",32003003223,-115.313698,36.186611,-115.28706,36.173843,"Nevada","Clark County",3325,1649,1676,5,73,3.6,0,14,0,2362,102539,17646,83033,15141,3.4,5.1,64.1,11.3,21.7,1.1,1.9,87.4,0.3,0,0.6,1.5,10.1,23.1,1509,82,12.5,5.5,0,4.7,36.180227,-115.300379
"63",32003003321,-115.251188,36.30525,-115.242159,36.299656,"Nevada","Clark County",2445,1193,1252,7.7,67.4,12.1,0,6,0,1908,128922,9635,47414,5598,3.6,0,50.5,16.3,25.7,4.7,2.8,87.7,4.2,0.4,0,0,7.7,27.3,1129,72.7,20.5,6.8,0,3.9,36.302453,-115.2466735
"64",32003003634,-115.173276,36.26164,-115.170981,36.257958,"Nevada","Clark County",4634,2149,2485,31.2,32,24.7,0.2,9.4,0.2,2897,51982,14493,19481,3076,8.6,9.5,16.4,22.6,30.3,12.2,18.5,79.7,10.7,7.2,0.8,1.1,0.4,24,2002,81.8,13.1,5,0,16.1,36.259799,-115.1721285
"65",32003003619,-115.198206,36.292642,-115.179302,36.281359,"Nevada","Clark County",3852,1988,1864,17.1,39.4,14.5,0.5,22.4,0,2545,124698,6258,38976,3256,3.9,3.1,48.9,13.7,28.4,2,6.9,77.2,14.7,1,0,0.5,6.5,29,1776,76.9,20.7,2.5,0,6.9,36.2870005,-115.188754
"66",32003005016,-115.029197,36.116669,-115.011539,36.090747,"Nevada","Clark County",5802,2612,3190,48,31,4.4,0.2,8,0,3898,51992,9780,23204,2604,6.9,7.9,16.3,35.8,29.4,13,5.5,79.9,8.2,7,1.3,2.8,0.7,27.4,2700,92,5.7,2.3,0,9.9,36.103708,-115.020368
"67",32003003617,-115.152331,36.205679,-115.151786,36.2036,"Nevada","Clark County",1356,679,677,34.2,18.6,34.1,0,9.7,0,814,45217,11466,16924,2954,15,20.8,9.4,36.4,23.1,12.8,18.3,76.3,16,4.9,1.6,0.5,0.8,25.2,646,86.8,8.2,5,0,10,36.2046395,-115.1520585
"68",32003005109,-115.037739,36.052754,-115.028833,36.047103,"Nevada","Clark County",7394,3682,3712,14.5,60.6,11.3,0,11.5,0.5,5780,57628,4179,33818,4779,8.1,7,35.6,24.8,24.9,6.4,8.2,87.2,7.3,0.6,3.7,0.4,0.6,20.6,4146,79.8,14.2,6,0,4.5,36.0499285,-115.033286
"69",32003001707,-115.109458,36.129747,-115.105348,36.125296,"Nevada","Clark County",1560,832,728,32.1,47.5,3.9,0.6,8.7,5.1,1050,35346,4154,26750,6708,21.2,34.8,31.9,25,25.5,11.1,6.6,78.8,4.5,9.5,3.5,0.8,2.8,22.8,605,77,9.6,12.9,0.5,22.6,36.1275215,-115.107403
"70",32003003001,-115.233157,36.173792,-115.224073,36.171922,"Nevada","Clark County",3865,2046,1819,48.2,40.9,2.4,0,2.2,1.9,2347,58211,9735,21040,2514,14.8,15.7,19.5,31.2,29.2,8.7,11.4,77.3,11,1.4,2.3,5.4,2.5,24.4,1761,86.5,9,4.4,0,9.5,36.172857,-115.228615
"71",32003001608,-115.090918,36.140528,-115.082915,36.130141,"Nevada","Clark County",1701,817,884,50.1,32.8,6.1,0,6.6,4.4,1086,32270,3557,20147,5447,25.5,45.7,15.6,35,25.9,14.9,8.6,73.7,11.4,6,4.5,0.7,3.7,26.3,765,88.5,6.1,5.4,0,18.2,36.1353345,-115.0869165
"72",32003005809,-115.279602,36.134869,-115.278933,36.131455,"Nevada","Clark County",4375,2083,2292,23.2,55.1,9.6,0.3,5.6,0.4,3016,49528,7231,27812,3266,19.9,29.7,31.8,22,26,7.6,12.5,78.4,10.4,3.2,0.8,5.5,1.8,25.4,2266,89.9,7.1,3,0,6.2,36.133162,-115.2792675
"73",32003002936,-115.229451,36.118143,-115.224871,36.114499,"Nevada","Clark County",3443,1647,1796,24.9,44.8,10.3,1.3,13.3,0.3,2546,52348,13112,25863,3223,13.8,21.4,22.6,29,31.4,9.6,7.3,79.7,9.5,7.5,0.7,0,2.6,25.9,1715,84.1,10.1,4.7,1.1,10.3,36.116321,-115.227161
"74",32003000402,-115.128187,36.177092,-115.125328,36.175611,"Nevada","Clark County",2839,1583,1256,66.3,11.7,19,0.4,1.4,0.3,1116,18205,6824,10978,1639,43.9,45.3,10.3,45.3,18.9,11.9,13.6,64,16.8,11.1,4.6,3.1,0.3,27.9,1065,91.5,0.4,8.2,0,13.5,36.1763515,-115.1267575
"75",32003001714,-115.075648,36.114946,-115.073604,36.111268,"Nevada","Clark County",3822,1955,1867,34.7,43.7,13.2,1,6.1,0,2329,63413,8258,20126,2984,8.9,2.6,17.9,39.1,20,7,16.1,82.4,8.5,1.1,0,6,1.9,23.3,1649,86.2,9.6,4.2,0,11.1,36.113107,-115.074626
"76",32003003430,-115.17603,36.195704,-115.169817,36.190486,"Nevada","Clark County",2796,1247,1549,47.4,12,25.3,0,9.8,1.1,1542,26938,3030,15678,1281,17.7,17.8,10.5,39.6,29,10.4,10.5,67.6,15.3,9.4,0.4,4.5,2.8,24.5,1124,91.1,5.2,3.7,0,9.2,36.193095,-115.1729235
